company_name,country,hall,booth,brands,representatives,source_page_url,source_record_url
tokio,Tayvan,10,1008,,,https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/tokio
TOOLSPRESS,Italy,3,317A,,,https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/toolspress
Top Stability Machine Industry Co Ltd,Tayvan,2,215,,,https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/top-stability-machine-industry-co-ltd
TopSolid SAS,France,12,1220 A,,,https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/topsolid-sas
TOPÇULAR ENDÜSTRİYEL ÜRETİM VE YATIRIM A.Ş.,Türki̇ye,4,402B,"OZCO, REVO ENDÜSTRİ",,https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/topcular-endustriyel-uretim-ve-yatirim-as
TORNOS,Switzerland,12,1208A,,,https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/tornos
TRAKYA KESİCİ TAK. SAN. VE TİC. LTD. ŞTİ.,Türki̇ye,12A,07,"mimatic GmbH, Grip Perfect, SAU SpA, NSR, SELUX, NGV & NGT","mimatic GmbH, Grip Perfect, Sau Tool, Sekwang SELUX Co., Ltd., NEWSERIM TECH Co.,Ltd, Nova Grup Vices",https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/trakya-kesici-tak-san-ve-tic-ltd-sti
TRANSOR Filter GmbH,Germany,11,1129,,,https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/transor-filter-gmbh
Triag International AG,Switzerland,11,1117,,,https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/triag-international-ag
TRIMILL A.S,Czech Republic,8,803,,,https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/trimill-as
TRIMOS SA,Switzerland,11,1121,,,https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/trimos-sa
TRUMPF MAKİNA SAN.A.Ş.,Türki̇ye,3,312,TRUMPF,TRUMPF SE + Co. KG,https://www.maktekfuari.com/en/exhibitor-list?page=83,https://www.maktekfuari.com/en/brand/trumpf-makina-sanas
TRUMPF SE + Co. KG,Germany,3,312,,,https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/trumpf-se-co-kg
Tschorn GmbH,Germany,11,1121,,,https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/tschorn-gmbh
Tschudin AG,Switzerland,5,503 B,,,https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/tschudin-ag
Tsudakoma,Japan,9,907,,,https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/tsudakoma
TT LAZER TEKNOLOJİLERİ LTD. ŞTİ.,Türki̇ye,11A,24,HG STAR,"HG STAR TECHNOLOGY CO.,Ltd.",https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/tt-lazer-teknolojileri-ltd-sti
TU TUMA HASSAS TUTUCU TAKIMLAR,Türki̇ye,11,1165,,,https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/tuma-hassas-tutucu-takimlar
TUBEND MAKİNA SAN. VE TİC. A.Ş.,Türki̇ye,2,218,,,https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/tubend-makina-san-ve-tic-as
TULPAR TOOLS METAL İŞLEME TEKNOLOJİLERİ SAN. VE TİC. A.Ş.,Türki̇ye,11A,11,TULPAR TOOLS METAL İŞLEME TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,,https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/tulpar-tools-metal-isleme-teknolojileri-san-ve-tic-as
TUMA HASSAS TUTUCU TAK.MED.OTO.MAK.SAN.TİC.LTD.ŞTİ,Türki̇ye,11,1165,,"TUMA HASSAS TUTUCU TAKIMLAR, TUMA HASSAS TUTUCU TAKIMLAR",https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/tuma-hassas-tutucu-takmedotomaksanticltdsti
TUNGALOY-NTK,Japan,11,1171,,,https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/tungaloy-ntk
TURLO S.R.L.,Italy,6,630A,TURLO / DIENNE TURLO,,https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/turlo-srl
TUROMAK MAKİNA SAN. VE TİC. LTD. ŞTİ.,Türki̇ye,9,918,TUROMAK,"STRIGON, SMT, UNISIGN, VOORTMAN, FACCIN, MANDELLI, PARAGON, PRAISE, MYDAY, HITEC, ESAB CUTTING SYSTEMS, FAT by HACO, OMSG / CARLO BANFI, CHUNGWEI GREAT, SAVIM, TECNOMAGNETE (MAG-AUTOBLOK), CMM, RAFAMET, POREBA",https://www.maktekfuari.com/en/exhibitor-list?page=85,https://www.maktekfuari.com/en/brand/turomak-makina-san-ve-tic-ltd-sti
Tyrolit Schleifmittelwerke Swarovski K.G.,Austria,11,1110,,,https://www.maktekfuari.com/en/exhibitor-list?page=85,https://www.maktekfuari.com/en/brand/tyrolit-schleifmittelwerke-swarovski-kg
TÜRK STANDARDLARI ENSTİTÜSÜ,Türki̇ye,6,609A,,,https://www.maktekfuari.com/en/exhibitor-list?page=84,https://www.maktekfuari.com/en/brand/turk-standardlari-enstitusu
U QUEEN MACHINERY CO.LTD,Tayvan,7,715,,,https://www.maktekfuari.com/en/exhibitor-list?page=85,https://www.maktekfuari.com/en/brand/u-queen-machinery-coltd
UGO BİLİŞİM TİC. VE LTD. ŞTİ.,Türki̇ye,12A,19 Hall: 12A Booth: 55,,"ZHEJIANG SHUANGZHENG TECHNOLOGY CO.,LTD, NINGBO SANHAN ALLOY MATERIAL CO.,LTD., DONGGUAN CITY TERMA ELECTRONICS CO.LTD, ZHEJIANG BOLLY SAW INDUSTRY CO., LTD., LAIZHOU XINYUE MACHINERY CO.,LTD., Chengdu New Chengliang Tools Co.,Ltd.",https://www.maktekfuari.com/en/exhibitor-list?page=85,https://www.maktekfuari.com/en/brand/ugo-bilisim-tic-ve-ltd-sti
Ultimaker B.V.,Netherlands,9,905A,,,https://www.maktekfuari.com/en/exhibitor-list?page=85,https://www.maktekfuari.com/en/brand/ultimaker-bv
ULTRA PRÄZISION MESSZEUGE GMBH,Germany,11,1121,,,https://www.maktekfuari.com/en/exhibitor-list?page=85,https://www.maktekfuari.com/en/brand/ultra-prazision-messzeuge-gmbh
"Uni-tech Precision Co., Ltd.",Tayvan,5,503 B,,,https://www.maktekfuari.com/en/exhibitor-list?page=85,https://www.maktekfuari.com/en/brand/uni-tech-precision-co-ltd
UNION TOOL Europe S.A.,Switzerland,11,1123,,,https://www.maktekfuari.com/en/exhibitor-list?page=85,https://www.maktekfuari.com/en/brand/union-tool-europe-sa
UNISIGN,Netherlands,9,918,,,https://www.maktekfuari.com/en/exhibitor-list?page=85,https://www.maktekfuari.com/en/brand/unisign
United MachininG Sales Switzerland SA,Switzerland,4,401,,,https://www.maktekfuari.com/en/exhibitor-list?page=85,https://www.maktekfuari.com/en/brand/united-machining-sales-switzerland-sa
